fpr,tpr,threshold
0.0,0.0,inf
0.006172839506172839,0.0,0.730762
0.030864197530864196,0.0,0.614875
0.030864197530864196,0.05555555555555555,0.601175
0.16049382716049382,0.05555555555555555,0.444635
0.16049382716049382,0.1111111111111111,0.423699
0.19135802469135801,0.1111111111111111,0.402161
0.19135802469135801,0.16666666666666666,0.397203
0.3333333333333333,0.16666666666666666,0.292149
0.3333333333333333,0.2222222222222222,0.286338
0.35185185185185186,0.2222222222222222,0.272688
0.35185185185185186,0.2777777777777778,0.267433
0.36419753086419754,0.2777777777777778,0.248192
0.36419753086419754,0.3333333333333333,0.247896
0.4012345679012346,0.3333333333333333,0.227823
0.4012345679012346,0.3888888888888889,0.225693
0.4567901234567901,0.3888888888888889,0.19305
0.4567901234567901,0.4444444444444444,0.188898
0.4691358024691358,0.4444444444444444,0.183369
0.4691358024691358,0.5555555555555556,0.180555
0.47530864197530864,0.5555555555555556,0.171231
0.47530864197530864,0.6111111111111112,0.170246
0.49382716049382713,0.6111111111111112,0.165214
0.49382716049382713,0.6666666666666666,0.161935
0.5061728395061729,0.6666666666666666,0.159483
0.5061728395061729,0.7222222222222222,0.15658
0.5123456790123457,0.7222222222222222,0.153183
0.5123456790123457,0.7777777777777778,0.147694
0.5370370370370371,0.7777777777777778,0.140606
0.5370370370370371,0.8333333333333334,0.139939
0.7901234567901234,0.8333333333333334,0.042217
0.7901234567901234,0.8888888888888888,0.037747
0.8518518518518519,0.8888888888888888,0.025153
0.8518518518518519,0.9444444444444444,0.024987
0.9197530864197531,0.9444444444444444,0.012297
0.9197530864197531,1.0,0.012018
1.0,1.0,0.001513
