fpr,tpr,threshold
0.0,0.0,inf
0.0,0.05555555555555555,0.730762
0.0,0.1111111111111111,0.690579
0.04938271604938271,0.1111111111111111,0.538568
0.04938271604938271,0.16666666666666666,0.520607
0.09876543209876543,0.16666666666666666,0.474203
0.09876543209876543,0.2222222222222222,0.47018
0.10493827160493827,0.2222222222222222,0.466913
0.10493827160493827,0.2777777777777778,0.465873
0.1419753086419753,0.2777777777777778,0.442891
0.1419753086419753,0.3888888888888889,0.433914
0.19135802469135801,0.3888888888888889,0.373902
0.19135802469135801,0.4444444444444444,0.364029
0.2716049382716049,0.4444444444444444,0.317982
0.2716049382716049,0.5,0.316131
0.3888888888888889,0.5,0.234749
0.3888888888888889,0.5555555555555556,0.225693
0.4012345679012346,0.5555555555555556,0.212387
0.4012345679012346,0.6111111111111112,0.207078
0.4506172839506173,0.6111111111111112,0.188812
0.4506172839506173,0.6666666666666666,0.188678
0.5,0.6666666666666666,0.160728
0.5,0.7222222222222222,0.160091
0.5987654320987654,0.7222222222222222,0.123331
0.5987654320987654,0.7777777777777778,0.118879
0.6172839506172839,0.7777777777777778,0.112585
0.6172839506172839,0.8333333333333334,0.111149
0.6234567901234568,0.8333333333333334,0.109798
0.6234567901234568,0.8888888888888888,0.108484
0.9876543209876543,0.8888888888888888,0.008942
0.9876543209876543,0.9444444444444444,0.007871
1.0,0.9444444444444444,0.001926
1.0,1.0,0.001167
